Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
13|Gegrillter Spargel mit Weißwein & Estragon|Vegetarisch|gegrillter_spargel_mit_weisswein.html|1|25|15|direkt|3|Gemüse|CRT 8361||Spargel|Spargel|500||4|Einfache Garprobe: Der Spargel ist fertig, wenn man das Alupäckchen biegen kann.
|||||||||Vegetarisch|||Butter|Butter|2|||
|||||||||Spargel|||Sesamöl|Sesamöl|1|||
|||||||||Estragon|||Weißwein|Weißwein|4|||
|||||||||Wein|||Bund Estragon|Estragon (Bund)|1|||
||||||||||||Zitronen|Zitronen|2|||
||||||||||||Salz|Salz||||
||||||||||||Pfeffer|Schwarzer Pfeffer||||
||||||||||||Zucker|Zucker||||
||||||||||||Alufolie|Alufolie||||
