Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
15|Gegrilltes Paprika mit Käsefüllung|Beilagen|gegrilltes_paprika_mit_kaesefuellung.html|1|35|10|direkt|2|Gemüse|DSC 4150||Spitzpaprika ca. 10 cm lang und 4 cm breit (dickste Stelle)|Spitzpaprika|2||2|
|||||||||Vegetarisch|||Feta|Fetakäse|75|||
|||||||||Zucchini|||Cherrytomaten|Cherrytomaten|5|||
|||||||||Paprika|||Zweig Thymian|Thymian (Zweige)|1|||
|||||||||Ziegencamembert|||Zweig Rosmarin|Rosmarinzweige|1|||
||||||||||||Blätter Basilikum|Basilikum (Blätter)|6|||
||||||||||||Knoblauchzehen|Knoblauchzehen|1|||
||||||||||||Olivenöl|Olivenöl|1|||
||||||||||||Zucker|Zucker||||
||||||||||||Salz|Salz||||
||||||||||||Pfeffer|Schwarzer Pfeffer||||
||||||||||||Paprikapulver edelsüß|Paprikapulver|0.5|||
||||||||||||Zimt|Zimt|0.5|||
