Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
17|Hähnchenkeule mit Thaipesto|Geflügel|haehnchenkeule_mit_thaipesto.html|1|15|20|direkt|2|Huhn|CRT 7109||Hähnchenkeulen|Hähnchenkeulen|4||4|
|||||||||Hähnchen|||indisches Currypulver|Currypulver (indisch)|1|||
|||||||||Geflügel|||Kokosmilch|Kokosmilch|200|||
|||||||||Fleisch|||rote Chilischoten|Rote Chilischoten|1|||
|||||||||Koriander|||Olivenöl|Olivenöl|20|||
|||||||||Pesto|||Cashewkerne|Cachewkerne|1|||
|||||||||Marinade|||frischer Ingwer, gerieben|Ingwer|1|||
|||||||||Cashewkerne|||Knoblauchzehen|Knoblauchzehen|1|||
||||||||||||Bund frische Petersilie|Petersilie (Bund)|1|||
||||||||||||Bund frischer Koriander|Koriander (Bund)|1|||
||||||||||||unbehandelte Zitrone|Zitronen|1|||
||||||||||||Salz, Pfeffer, Zucker|Salz,Schwarzer Pfeffer,Zucker||||
||||||||||||Schraubglas|Schraubgläser|1|||
