Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
18|Huhn am Spieß mit Nüssen|Geflügel|huhn_am_spiess_mit_nuessen.html|1|65|10|direkt|1|Huhn|CRT 7579||Hähnchenbrüste|Hähnchenbrüste|1||2|Wie immer gilt, wer die Spieße vorher gut wässert, bekommt anschließend das Fleisch besser ab. Meine Beilagen-Empfehlung dazu ist wilder Basmati-Reis.
|||||||||Hähnchen|||Erdnussbutter|Erdnussbutter|2|||
|||||||||Geflügel|||Crème fraîche|Crème fraîche|1|||
|||||||||Fleisch|||Senf|Senf|1|||
|||||||||Spieß|||Sahne-Meerrettich|Sahne-Meerrettich|1|||
|||||||||Nüsse|||Cayennepfeffer|Cayennepfeffer|1|||
|||||||||Erdnussbutter|||Orangensaft|Orangensaft|1|||
|||||||||Marinade|||Rapsöl|Rapsöl|2|||
||||||||||||Holzspieße|Spieße|3|||
||||||||||||Salz|Salz||||
||||||||||||Pfeffer|Schwarzer Pfeffer||||
