Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
19|Involtini von der Pute|Geflügel|involtini_von_der_pute.html|4|70|15|direkt|2|Pute|CRT 7396||Scheiben Putenbrustschnitzel|Putenbrustschnitzel|4||4|Weicht die Zahnstocher vorher in Wasser ein, dann lassen sie sich nach dem Grillen leichter aus den Rouladen ziehen.
|||||||||Involtini|||Bund Salbei|Salbei (Bund)|1|||
|||||||||Parmaschinken|||Scheiben Parmaschinken|Parmaschinken (Scheiben)|4|||
|||||||||Salbei|||Frischkäse|Frischkäse|2|||
||||||||||||Tomatenmark|Tomatenmark|2|||
||||||||||||Kräuter der Provence|Kräuter der Provence|1|||
||||||||||||rote Zwiebeln|Rote Zwiebeln|1|||
||||||||||||Zahnstocher|Zahnstocher|4|||
||||||||||||Salz|Salz||||
||||||||||||Pfeffer|Schwarzer Pfeffer||||
