Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
20|Kalmar à la Plancha|Aus dem Wasser|kalmar_a_la_plancha.html|1|35|4|direkt|3|Meeresfrüchte|DSC 3908||küchenfertige Kalmare|Kalmare|700||4|Zusammen mit Spaghetti einfach unwiderstehlich!
|||||||||Kalmar|||Olivenöl|Olivenöl|2|||
|||||||||Calamari|||Chiliflocken|Chiliflocken|1|||
|||||||||Vorspeise|||Zucchini|Zucchini|2|||
|||||||||Fisch|||Schalotten|Schalotten|4|||
|||||||||Pulpen|||Kirschtomaten|Kirschtomaten|6|8||
||||||||||||Salz|Salz||||
||||||||||||frisch gemahlener schwarzer Pfeffer|Schwarzer Pfeffer||||
||||||||||||grob gehacktes, frisches Koriandergrün|Koriandergrün|5|||
||||||||||||Olivenöl|Olivenöl|4|||
||||||||||||Zitronensaft|Zitronensaft|10|||
||||||||||||fein gehackter Knoblauch|Knoblauch|0.5|||
||||||||||||Spritzer Tabasco|Tabasco (Spritzer)|4|||
