Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
22|Marinierte Lamm-Spieße|Fleisch|marinierte_lamm_spieße.html|2|25|10|direkt|2|Lamm|DSC 3835||Lammfleisch aus der Keule|Lammfleisch aus der Keule|700||4|Steckt Ihr noch ein wenig Speck mit auf die Fleischspieße, so bringt der ein ganz besonderes, rauchiges Aroma mit ins Spiel und verhindert gleichzeitig, dass das Lammfleisch austrocknet.
|||||||||Zucchini|||Zwiebeln|Zwiebeln|1|||
|||||||||Spieße|||Lorbeerblätter|Lorbeerblätter|3|||
|||||||||Gemüse|||frisch gehackter Ananassalbei|Ananassalbei|1|||
||||||||||||Olivenöl|Olivenöl|15|||
||||||||||||Limetten|Limetten|1|||
||||||||||||Schalotten|Schalotten|8|||
||||||||||||Zucchini|Zucchini|1|||
||||||||||||rote Paprika|Rote Paprika|1|||
||||||||||||Salz, Pfeffer|Salz,Schwarzer Pfeffer||||
||||||||||||Schaschlikspieße|Schaschlikspieße||||
