Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
23|Paprika mit Couscous-Füllung|Vegetarisch|paprika_mit_couscous_fuellung.html|1|35|8|direkt|1|Paprika|CRT 8277||rote Paprika|Rote Paprika|4||4|Wenn Ihr eine habt, verwendet die antihaft-beschichtete Grillplatte, dann lassen sich die Paprika leichter vom Grill lösen.
|||||||||Couscous|||Paket Couscous|Couscous (Paket)|1|||
|||||||||Vegetarisch|||Paket Datteln ohne Stein|Datteln (Paket)|1|||
|||||||||Beilage|||ungespritzte Orange|Orangen|1|||
|||||||||Datteln|||rote Zwiebeln|Rote Zwiebeln|1|||
|||||||||Pistazien|||Curry|Currypulver|1|||
|||||||||Gemüse|||gehackte Pistazienkerne|Pistazienkerne|100|||
|||||||||Exotisch|||Bund Petersilie|Petersilie (Bund)|1|||
||||||||||||Salz|Salz||||
||||||||||||Pfeffer|Schwarzer Pfeffer||||
