Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
25|Rindersteaks mit Feigen-Rotwein-Glasur|Fleisch|rindersteaks_mit_feigen.html|3|45|11|direkt|4|Feigen|DSC 4084||Schalotten|Schalotten|3||4|
|||||||||Rind|||Olivenöl|Olivenöl|5|||
|||||||||Steaks|||Rotweinessig|Rotweinessig|300|||
|||||||||Rotweinsauce|||Rotwein|Rotwein|150|||
||||||||||||getrocknete Feigen|Feigen (getrocknet)|6|||
||||||||||||gehackter Thymian|Thymian|1|||
||||||||||||Honig|Honig|2|||
||||||||||||frische Feigen|Feigen (frisch)|8|||
||||||||||||Rinderfiletsteaks|Rinderfilets|4|||
||||||||||||Salz|Salz||||
||||||||||||Pfeffer|Schwarzer Pfeffer||||
