Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
32|Kaiserschmarrn vom Gasgrill|Süßer Genuss|kaiserschmarrn_vom_gasgrill.html|1|15|8|direkt|1|Eierspeise|DSC 3768||Milch|Milch|250||2|Traditionell gibt’s zum Schmarrn Zwetschkenröster oder Apfelmus. Köstlich sind aber auch Kompott oder frische Früchte der Saison - von Rhabarber im Frühling bis Brombeeren im Herbst.
|||||||||Milch|||Eier|Eier|3|||
|||||||||Rosinen|||Mehl|Mehl|160|||
|||||||||Vegetarisch|||Schlagsahne|Schlagsahne|1|||
|||||||||Dessert|||Rosinen|Rosinen|30|||
||||||||||||Butter|Butter|60|||
||||||||||||Päckchen Vanillezucker|Vanillezucker (Päckchen)|1|||
||||||||||||Zucker|Zucker|1|||
||||||||||||Puderzucker zum Bestreuen|Puderzucker||||
||||||||||||Salz|Salz||||
