Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
33|Lachs im Bananenblatt|Aus dem Wasser|lachs_im_bananenblatt.html|4|15|8|direkt|3|Lachs|DSC 4120||Lachsfilet ohne Haut|Lachsfilet|800||4|Wenn Ihr unterschiedlich starke Esser am Tisch habt, könnt Ihr das Lachsfilet auch im Stück zubereiten und anschließend jeden nach Belieben zugreifen lassen.
|||||||||Bananenblatt|||Karotten|Karotten|3|||
|||||||||Fisch|||frisch gehackte Petersilie|Petersilie|2|||
|||||||||Vegetarisch|||Frühlingszwiebeln|Frühlingszwiebeln|3|||
|||||||||Marinade|||Sweet Chili Sauce|Sweet Chili Sauce|3.5|||
|||||||||Chili|||Bananenblätter|Bananenblätter||||
|||||||||Kokosmilch|||unbehandelte Zitronen|Zitronen|2|||
||||||||||||Salz|Salz||||
||||||||||||frisch gemahlener schwarzer Pfeffer|Schwarzer Pfeffer||||
||||||||||||Chilipulver|Chilipulver||||
||||||||||||Sojasosse|Sojasosse|10|||
||||||||||||Limetten|Limetten|1|||
||||||||||||rote Chilischoten|Rote Chilischoten|1|||
||||||||||||Frühlingszwiebeln|Frühlingszwiebeln|3|||
||||||||||||frischen Ingwer|Ingwer|3|||
||||||||||||Kokosmilch|Kokosmilch|200|||
