Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
34|Blutwurst auf Blattsalaten|Fleisch|blutwurst_auf_blattsalaten.html|1|15|8|direkt|1|Blutwurst|DSC 3811||Blutwurst|Blutwurst|400||4|
|||||||||Salat|||Kopf Eichblattsalat|Eichblattsalat (Kopf)|1|||
|||||||||Walnüsse|||frischer Blattspinat|Blattspinat|50|||
|||||||||Vorspeise|||kleiner Radicchio|Radicchio|1|||
||||||||||||Bund Rosmarin|Rosmarin (Bund)|1|||
||||||||||||Bund Petersilie|Petersilie (Bund)|1|||
||||||||||||Walnusskerne|Walnusskerne|200|||
||||||||||||Olivenöl|Olivenöl|1|||
||||||||||||Salatöl nach Belieben|Salatöl|100|||
||||||||||||Zitronensaft|Zitronensaft|20|||
||||||||||||Salz, frisch gemahlener Pfeffer|Salz,Schwarzer Pfeffer||||
||||||||||||Muskatnuss, Currypulver|Muskat,Currypulver||||
