Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
35|Kidneybohnen Burger|Vegetarisch|kidneybohnen_burger.html|1|15|2|direkt|2|Kidneybohnen|tartex_1||gekochte Kidneybohnen |Kidneybohnen (gekocht)|250||4|
|||||||||Knoblauch|||mittelgroße Zwiebel|Zwiebeln|1|||
|||||||||Cornflakes|||Knoblauchzehen|Knoblauchzehen|2|||
|||||||||Vegetarischer Aufstrich|||Bund Basilikum|Basilikum (Bund)|0.5|||
|||||||||Chiabattabrötchen|||getrocknete Tomaten|Tomaten (getrocknet)|3|||
|||||||||Rucola Salat|||Olivenöl|Olivenöl|5|||
|||||||||Bürger|||Salz|Salz|1.5|||
||||||||||||Kreuzkümmel|Kreuzkümmel (Prise)|1|||
||||||||||||Tartex Kräuter Pastete|Tartex Pastete Kräuter |100|||
||||||||||||schwarzer Pfeffer|Schwarzer Pfeffer|0.5|||
||||||||||||Paniermehl|Paniermehl|80|||
||||||||||||Cornflakes|Cornflakes|20|||
||||||||||||Sojamehl|Sojamehl|4|||
||||||||||||Olivenöl|Olivenöl|2|||
||||||||||||Ciabattabrötchen|Ciabattabrötchen|4|||
||||||||||||rote Zwiebel|Rote Zwiebeln|1|||
||||||||||||Tomaten|Tomaten|2|||
||||||||||||Rucola Salat|Rucola|100|||
||||||||||||Süße eingelegte Gurken|Eingelegte Gurken (süß)|2|||
||||||||||||Tartex CREMISSO Tomate-Basilikum|Tartex Cremisso Tomate-Basilikum|180|||
