Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
36|Gegrillte bunte Süßkartoffel Spieße mit scharfem Dip|Vegetarisch|gegrillte_bunte_suesskartoffel.html|4|40|10|direkt|3|Süßkartoffel|tartex_2||Süßkartoffeln|Süßkartoffeln|600||4|
|||||||||Vegetarischer Aufstrich|||rote Zwiebeln|Rote Zwiebeln|3|||
|||||||||Ingwer|||mittelgroße Zucchini|Zucchini|2|||
|||||||||Maiskolben|||Kirschtomaten|Kirschtomaten|400|||
|||||||||Zucchini|||vorgegarte Maiskolben|Maiskolben (vorgegart)|2|||
|||||||||rote Zwiebeln|||gewässerte Bambusspieße|Bambusspieße|8|||
||||||||||||Olivenöl|Olivenöl|3|||
||||||||||||Sojasosse|Sojasoße|2|||
||||||||||||Meersalz|Meersalz|1|||
||||||||||||schwarzer Pfeffer|Schwarzer Pfeffer|0.5|||
||||||||||||Piment|Piment|0.25|||
||||||||||||Kardamon|Kardamom|0.25|||
||||||||||||Cayennepfeffer|Cayennepfeffer|0.25|||
||||||||||||Tartex CREMISSO Paprika-Chili|Tartex Cremisso Paprika-Chili|180|||
||||||||||||Hafersahne|Hafersahne (oder normale Sahne)|100|||
||||||||||||frische rote Chilischoten|Rote Chilischoten|2|||
||||||||||||kleines Stück Ingwer (nach Geschmack)|Ingwer (Stück)|1|||
||||||||||||Bund frischer Basilikum|Basilikum (Bund)|0.25|||
||||||||||||Agavendicksaft|Agavendicksaft|1|||
||||||||||||Saft einer halben Limette|Limetten|0.5|||
