Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
37|Pita Tasche mit gegrillten krossen Auberginen Chips|Vegetarisch|pita_tasche_mit_gegrillten.html|2|60|10|direkt|1|Vegetarischer Aufstrich|tartex_3||mittelgroße Auberginen|Auberginen|4||4|Gemüse  in eine Aluschale geben und grillen. So kommt das Gemüse nicht in direkten Kontakt mit dem Grill und brennt nicht so schnell an.\n\nDamit während des Grillens möglichst wenige Nährstoffe verloren gehen, sollte das Gemüse möglichst bei niedriger Temperatur gegart werden. Das Gemüse vor dem Grillen mit Öl oder Marinade  beträufeln oder darin wenden  - sonst kann es leicht schwarz werden.\n\nFür Grillmarinaden raffinierte Öle verwenden, denen höhere Temperaturen (etwa 200 °C) nichts ausmachen (z.B. Sonnenblumen- oder Rapsöl). Natives Olivenöl nicht zum Grillen verwenden - es verbrennt schon bei niedrigeren Temperaturen.
|||||||||Pita|||Knoblauchzehen|Knoblauchzehen|4|||
|||||||||Auberginen|||Bund frischer Basilikum|Basilikum (Bund)|0.5|||
||||||||||||Olivenöl|Olivenöl|6|||
||||||||||||Chilipulver|Chilipulver|0.5|||
||||||||||||getrockneter Oregano|Oregano (getrocknet)|1|||
||||||||||||getrockneter Basilikum|Basilikum (getrocknet)|1|||
||||||||||||Salz|Salz|0.5|||
||||||||||||schwarzer Pfeffer|Schwarzer Pfeffer|0.25|||
||||||||||||Pita-Brote|Pita Brote|4|||
||||||||||||Tartex PASTETE Champignon|Tartex Pastete Champignon|125|||
