Nr.|Rezeptname|Kategorie|Beschreibungs-Datei|Schwierigkeits-grad|Zubereitungs-zeit|Grillzeit|Grillart|Preisgefüge|Schlagworte / Keywords|Bild-Datei groß|Bild-Datei Thumbnail|Zutaten-Details (in der App)|Zutaten-Bezeichnung/-Name (für Einkaufsliste)|Zutaten Min|Zutaten Max|Personen|Grilltipps-Text
7|Feta à la Provence|Vegetarisch|feta_a_la_provence.html|1|15|10|direkt|2|Feta|DSC 3751||Fetakäse aus Kuhmilch|Fetakäse|200||2|Alternativ könnt Ihr natürlich auch griechischen Schafskäse verwenden. Und wenn Ihr die Portionen kleiner bemesst, ist der Feta auch eine leckere Beilage zum Lamm- oder Rindfleisch.
|||||||||Schafskäse|||Olivenöl|Olivenöl|2|||
|||||||||Mittelmeer|||Tomaten|Tomaten|1|||
|||||||||Alufolie|||schwarze Oliven ohne Kern|Oliven|4|||
|||||||||Vorspeise|||rote Zwiebeln|Rote Zwiebeln|2|||
|||||||||Beilage|||Knoblauchzehen|Knoblauchzehen|0.5|||
|||||||||vegetarisch|||rote Chilischoten|Chilischoten|2|||
||||||||||||ein paar frische Basilikumblätter|Basilikum||||
||||||||||||Salz und Pfeffer|Salz,Schwarzer Pfeffer||||
||||||||||||Oregano und Thymian nach Belieben|Oregano,Thymian||||
