Zutatenname|Mengeneinheit|Kategorie|||||||
Agavendicksaft|TL|Sonstiges|||||||
Ahornsirup|EL|Sonstiges|||||||
Alufolie||Haushaltswaren|||||||
Ananas||Obst & Gemüse|||||||
Ananassalbei|EL|Kräuter & Gewürze|||||||
Äpfel (säuerlich)||Obst & Gemüse|||||||
Aubergine||Obst & Gemüse||doppelt|||||
Auberginen|Stück|Obst & Gemüse|||||||
Balsamico-Essig|ml|Öl & Essig|||||||
Bambusspieße|Stück|Haushaltswaren|||||||
Bananenblätter||Obst & Gemüse|||||||
Basilikum|EL|Kräuter & Gewürze|||||||
Basilikum (Blätter)||Kräuter & Gewürze|||||||
Basilikum (Bund)||Kräuter & Gewürze|||||||
Basilikum (getrocknet)|TL|Kräuter & Gewürze|||||||
Bier (Flasche)||Getränke|||||||
Blattspinat|g|Obst & Gemüse|||||||
Blutwurst|g|Fleisch||blutwurst|||||
Brathähnchen||Fleisch|||||||
Butter|g|Molkereiprodukte|||||||
Cachewkerne|EL|Kräuter & Gewürze|||||||
Cayennepfeffer|TL|Kräuter & Gewürze|||||||
Cherrytomaten||Obst & Gemüse|||||||
Chiliflocken|EL|Kräuter & Gewürze|||||||
Chilipulver||Kräuter & Gewürze|||||||
Chilischoten||Obst & Gemüse|||||||
Ciabatta-Brot|g|Brot & Backwaren|||||||
Ciabattabrötchen|Stück|Brot & Backwaren|||||||
Cointreau|EL|Getränke|||||||
Cornflakes|g|Getreidewaren|||||||
Couscous (Paket)||Getreidewaren|||||||
Crème fraîche|EL|Molkereiprodukte||problem: EL in huhn mit nüssen|||sonst auch in g?||
Currypulver|EL|Kräuter & Gewürze|||||||
Currypulver (indisch)|EL|Kräuter & Gewürze|||||||
Datteln (Paket)||Obst & Gemüse|||||||
Dose/n Bier||Getränke|||||||
Eichblattsalat (Kopf)||Obst & Gemüse|||||||
Eier||Sonstiges|||||||
Eingelegte Gurken (süß)|Stück|Konserven|||||||
Entenbrüste||Fleisch|||||||
Erdbeeren|g|Obst & Gemüse|||||||
Erdnussbutter|EL|Sonstiges|||||||
Estragon (Bund)||Kräuter & Gewürze|||||||
Feigen (frisch)||Obst & Gemüse||rindersteaks|||||
Feigen (getrocknet)||Obst & Gemüse||rindersteaks|||||
Fetakäse|g|Molkereiprodukte|||||||
Frischkäse|EL|Molkereiprodukte|||||||
Frühlingszwiebeln||Obst & Gemüse|||||||
Frühstücksspeck (Scheiben)||Fleisch|||||||
Garnelen|g|Fisch|||||||
Gekochter Schinken|g|Sonstiges|||||||
Glögg|l|Getränke|||||||
Gorgonzola-Käse|g|Molkereiprodukte|||||||
Grüne Chilischoten||Obst & Gemüse|||||||
Hackfleisch|g|Fleisch|||||||
Hafersahne (oder normale Sahne)|ml|Sonstiges|||||||
Hähnchenbrüste||Fleisch|||||||
Hähnchenkeulen||Fleisch|||||||
Hähnchenwürzmischung|EL|Kräuter & Gewürze|||||||
Haselnüsse|g|Sonstiges|||||||
Hefe|g|Sonstiges|||||||
Hefeweizen (Flasche)||Getränke|||||||
Holzspieße||Sonstiges|||||||
Honig|EL|Sonstiges|||||||
Honig (flüssig)|EL|Sonstiges||ganzer lammrücken|||||
Ingwer|TL|Obst & Gemüse|||||||
Ingwer (eingelegt)|EL|Konserven|||||||
Ingwer (Stück)||Obst & Gemüse|||||||
Ingwerwurzel|cm|Obst & Gemüse|||||||
Kalmare|g|Fisch|||||||
Kardamom|TL|Kräuter & Gewürze|||||||
Karotten||Obst & Gemüse|||||||
Kartoffelstärke|Msp.|Sonstiges|||||||
Kidneybohnen (gekocht)|g|Konserven|||||||
Kirschtomaten||Obst & Gemüse|||||||
Kirschtomaten|g|Obst & Gemüse|||||||
Knoblauch|EL|Obst & Gemüse|||||||
Knoblauchzehen||Obst & Gemüse|||||||
Kokosmilch|ml|Sonstiges|||||||
Koriander (Bund)||Kräuter & Gewürze|||||||
Koriandergrün|EL|Kräuter & Gewürze||kalmar|||||
Kräuter der Provence|TL|Kräuter & Gewürze|||||||
Kreuzkümmel|Prise|Kräuter & Gewürze|||||||
Kreuzkümmel (Prise)||Kräuter & Gewürze|||||||
Küchenzwirn||Haushaltswaren|||||||
Lachsfilet|g|Fisch|||||||
Lammfleisch aus der Keule|g|Fleisch|||||||
Lammrücken||Fleisch|||||||
Limetten||Obst & Gemüse|||||||
Limettensaft|TL|Sonstiges|||||||
Lorbeerblätter||Kräuter & Gewürze|||||||
Maiskolben (vorgegart)|Stück|Obst & Gemüse|||||||
Mangos||Obst & Gemüse|||||||
Marzipan-Rohmasse|g|Sonstiges|||||||
Mayonnaise|g|Sonstiges|||||||
Meersalz||Sonstiges|||||||
Meersalz (Prise)||Sonstiges||war|Meersalz (Prise)||ganzer lammrücken||noch gebraucht in Tomatenbrot
Mehl|g|Getreidewaren||problem: kaiserschmarrn in g|||||
Milch|ml|Molkereiprodukte|||||||
Minze (Blätter)||Kräuter & Gewürze|||||||
Möhren||Obst & Gemüse|||||||
Muskat||Kräuter & Gewürze|||||||
Oliven||Öl & Essig|||||||
Olivenöl|EL|Öl & Essig|||||||
Orangen||Obst & Gemüse|||||||
Orangensaft|EL|Getränke|||||||
Oregano|TL|Kräuter & Gewürze|||||||
Oregano (getrocknet)|TL|Kräuter & Gewürze|||||||
Paniermehl|g|Brot & Backwaren|||||||
Paprikapulver|EL|Kräuter & Gewürze||check:|wirklich sonst auchEL?||(gegrilltes paprika)||
Parmaschinken (Scheiben)||Sonstiges|||||||
Parmesankäse|EL|Molkereiprodukte|||||||
Petersilie|EL|Kräuter & Gewürze|||||||
Petersilie (Bund)||Kräuter & Gewürze|||||||
Piment||Kräuter & Gewürze|||||||
Piripiripulver|EL|Kräuter & Gewürze||garnelen |||||
Pistazienkerne|g|Sonstiges|||||||
Pita Brote|Stück|Brot & Backwaren|||||||
Polenta|g|Getreidewaren|||||||
Puderzucker||Sonstiges|||||||
Putenbrustschnitzel||Fleisch|||||||
Radicchio||Obst & Gemüse|||||||
Rapsöl|EL|Öl & Essig|||||||
Rinderfilets||Fleisch|||||||
Rohrzucker|EL|Sonstiges|||||||
Rosinen|g|Sonstiges|||||||
Rosmarin|Msp.|Kräuter & Gewürze||war|Rosmarin (gemahlen)||2||
Rosmarin (Bund)||Kräuter & Gewürze|||||||
Rosmarin (gemahlen)|TL|Kräuter & Gewürze||ganzer lammrücken|||||
Rosmarinzweige||Kräuter & Gewürze||war|Rosmarin (Zweige)||2||
Rote Beete|g|Obst & Gemüse|||||||
Rote Chilischoten||Obst & Gemüse|||||||
Rote Paprika||Obst & Gemüse|||||||
Rote Zwiebeln||Obst & Gemüse|||||||
Rotwein|ml|Getränke|||||||
Rotweinessig|ml|Öl & Essig|||||||
Rucola|g|Obst & Gemüse|||||||
Sahne-Meerrettich|EL|Sonstiges|||||||
Salatöl|ml|Öl & Essig|||||||
Salbei (Bund)||Kräuter & Gewürze|||||||
Salbeiblätter||Kräuter & Gewürze|||||||
Salz|TL|Kräuter & Gewürze|||||||
Salz (Prise)||Kräuter & Gewürze|||||||
Sardinen||Fisch|||||||
Schalotten||Obst & Gemüse|||||||
Schaschlikspieße||Haushaltswaren|||||||
Schlagsahne|EL|Molkereiprodukte|||||||
Schnittlauch (Bund)||Kräuter & Gewürze|||||||
